話	talk	wa	hana(su), hanashi	JDIC_Audio_All/はなし - 話.mp3	ワ	はなす,はなし	tale; talk
来	come	rai	ku(ru), kita(ru), kita(su)	JDIC_Audio_All/らい - 来.mp3	ライ,タイ	くる,きたる	come; due; next; cause; become
理	logic	ri	kotowari	JDIC_Audio_All/り - 理.mp3	リ	ことわり	logic; arrangement; reason; justice; truth
里	village	ri	sato	JDIC_Audio_All/さと - 里.mp3	リ	さと	ri; village; parent's home; league
曜	weekday	yoo	yoo	JDIC_Audio_All/ようび - 曜日.mp3	ヨウ	ヨウ	weekday
用	utilize	yoo	mochi(iru)	JDIC_Audio_All/よう - 用.mp3	ヨウ	もちいる	utilize; business; service; use; employ
友	friend	yuu	tomo	JDIC_Audio_All/とも - 友.mp3	ユウ	とも	friend
門	gate	mon	kado	JDIC_Audio_All/もん - 門.mp3	モン	かど,と	gate; counter for cannons
夜	night	ya	yo, yoru	JDIC_Audio_All/よる - 夜.mp3	ヤ	よ,よる	night; evening
野	plains	ya	no	JDIC_Audio_All/の - 野.mp3	ヤ,ショ	の,の-	plains; field; rustic; civilian life
矢	dart	shi	ya	JDIC_Audio_All/や - 矢.mp3	シ	や	dart; arrow
毛	fur	moo	ke	JDIC_Audio_All/け - 毛.mp3	モウ	け	fur; hair; feather; down
明	light	mei, myoo	a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu)	JDIC_Audio_All/あかり - 明り.mp3	メイ,ミョウ	あかり,あかるい	bright; light
鳴	chirp	mei	na(ku), na(ru), na(rasu)	JDIC_Audio_All/なる - 鳴る.mp3	メイ	なく,なる	chirp; cry; bark; sound; ring; echo; honk
毎	every	mai	goto	JDIC_Audio_All/ごと - 毎.mp3	マイ	ごと,-ごとに	every
万	ten thousand	man, ban	yoruzu	JDIC_Audio_All/ばん - 万.mp3	マン,バン	よろず	ten thousand
歩	walk	ho, bu, fu	aru(ku), ayu(mu)	sounds/common/fu.wav	ホ,ブ	あるく,あゆむ	walk; counter for steps
母	mama	bo	haha	sounds/g2/e6af8d_haha.wav	ボ	はは,も	mama; mother
方	direction	hoo	kata	sounds/g2/e696b9_houbou.wav	ホウ	かた,-かた	direction; person; alternative
北	north	hoku	kita	sounds/common/hoku.wav	ホク	きた	north
妹	younger sister	mai	imooto	JDIC_Audio_All/いもうと - 妹.mp3	マイ	いもうと	younger sister
聞	hear	bun, mon	ki(ku), ki(koeru)	JDIC_Audio_All/きく - 聞く.mp3	ブン,モン	きく,きこえる	hear; ask; listen
米	rice	bei, mai	kome	JDIC_Audio_All/こめ - 米.mp3	ベイ,マイ	こめ,よね	rice; USA; metre
風	wind	fuu, fu	kaze, kaza	JDIC_Audio_All/ふう - 風.mp3	フウ,フ	かぜ,かざ-	wind; air; style; manner
分	minute of time	bun, fun, bu	wa(keru), wa(kareru), wa(karu), wa(katsu)	JDIC_Audio_All/ぶん - 分.mp3	ブン,フン,ブ	わける,わけ,わかれる,わかる,わかつ	part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100
父	father	fu	chichi	JDIC_Audio_All/ちち - 父.mp3	フ	ちち	father
麦	wheat	baku	mugi	JDIC_Audio_All/むぎ - 麦.mp3	バク	むぎ	barley; wheat
半	half	han	naka(ba)	JDIC_Audio_All/はん - 半.mp3	ハン	なかば	half; middle; odd number; semi-; part-
番	turn	ban	tsugai	JDIC_Audio_All/ばん - 番.mp3	バン	つがい	turn; number in a series
買	buy	bai	ka(u)	JDIC_Audio_All/かう - 買う.mp3	バイ	かう	buy
売	sell	bai	u(ru), u(reru)	JDIC_Audio_All/うる - 売る.mp3	バイ	うる,うれる	sell
南	south	nan, na	minami	JDIC_Audio_All/みなみ - 南.mp3	ナン,ナ	みなみ	south
肉	meat	niku	shishi	JDIC_Audio_All/にく - 肉.mp3	ニク	しし	meat
馬	horse	ba	uma, ma	JDIC_Audio_All/うま - 馬.mp3	バ	うま,うま-	horse
頭	head	too, zu, to	atama, kashira	JDIC_Audio_All/あたま - 頭.mp3	トウ,ズ	あたま,かしら	head; counter for large animals
同	same	doo	ona(ji)	JDIC_Audio_All/どう - 同.mp3	ドウ	おなじ	same; agree; equal
道	street	doo, too	michi	JDIC_Audio_All/みち - 道.mp3	ドウ,トウ	みち	road-way; street; district; journey; course; moral; teachings
読	read	doku, toku, too	yo(mu)	JDIC_Audio_All/よむ - 読む.mp3	ドク,トク	よむ,-よみ	read
内	inside	nai, dai	uchi	JDIC_Audio_All/うち - 内.mp3	ナイ,ダイ	うち	inside; within; between; among; house; home
冬	winter	too	fuyu	JDIC_Audio_All/ふゆ - 冬.mp3	トウ	ふゆ	winter
刀	sword	too	katana	JDIC_Audio_All/かたな - 刀.mp3	トウ	かたな,そり	sword; saber; knife
東	east	too	higashi	JDIC_Audio_All/あずま - 東.mp3	トウ	ひがし	east
当	hit	too	a(taru), a(teru)	JDIC_Audio_All/あて - 当て.mp3	トウ	あたる,あたり	hit; right; appropriate; himself
答	solution	too	kota(eru), kota(e)	JDIC_Audio_All/こたえ - 答.mp3	トウ	こたえる,こたえ	solution; answer
朝	morning	choo	asa	JDIC_Audio_All/あさ - 朝.mp3	チョウ	あさ	morning; dynasty; regime; epoch; period; (North) Korea
長	long	choo	naga(i)	JDIC_Audio_All/ちょう - 長.mp3	チョウ	ながい,おさ	long; leader
鳥	bird	choo	tori	JDIC_Audio_All/とり - 鳥.mp3	チョウ	とり	bird; chicken
