列	row	retsu	retsu	JDIC_Audio_All/れつ - 列.mp3	レツ,レ	レツ,レ	file; row; rank; tier; column
練	practice	ren	ne(ru)	JDIC_Audio_All/ねり - 練り.mp3	レン	ねる,ねり	practice; gloss; train; drill; polish; refine
路	path	ro	ji	sounds/common/ro.wav	ロ,ル	-じ,みち	path; route; road; distance
和	harmony	wa, o	yawa(ragu), yawa(rageru), nago(mu), nago(yaka)	JDIC_Audio_All/やわ - 和.mp3	ワ,オ	やわらぐ,やわらげる	harmony; Japanese style; peace; soften; Japan
緑	green	ryoku, roku	midori	JDIC_Audio_All/みどり - 緑.mp3	リョク,ロク	みどり	green
礼	ceremony	rei, rai	rei	JDIC_Audio_All/れい - 礼.mp3	レイ,ライ	レイ,ライ	salute; bow; ceremony; thanks; remuneration
陽	sunshine	yoo	hi	JDIC_Audio_All/よう - 陽.mp3	ヨウ	ひ	sunshine; yang principle; positive; male; heaven; daytime
落	drop	raku	o(chiru), o(tosu)	JDIC_Audio_All/おち - 落.mp3	ラク	おちる,おち	fall; drop; come down
流	current	ryuu, ru	naga(reru), naga(su)	JDIC_Audio_All/りゅう - 流.mp3	リュウ,ル	ながれる,ながれ	current; a sink; flow; forfeit
旅	trip	ryo	tabi	JDIC_Audio_All/たび - 旅.mp3	リョ	たび	trip; travel
両	counter for carriages (e.g., in a train)	ryoo	futatsu	sounds/g1/e4ba8c_futatsu.wav	リョウ	てる,ふたつ	both; old Japanese coin; counter for carriages (e.g., in a train); two
羊	sheep	yoo	hitsuji	JDIC_Audio_All/ひつじ - 羊.mp3	ヨウ	ひつじ	sheep
葉	leaf	yoo	ha	JDIC_Audio_All/は - 葉.mp3	ヨウ	は	leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece
様	manner	yoo	sama	JDIC_Audio_All/よう - 様.mp3	ヨウ,ショウ	さま,さん	Esq.; way; manner; situation; polite suffix
洋	ocean	yoo	nada	JDIC_Audio_All/ようよう - 洋々.mp3	ヨウ	ヨウ	ocean; western style
遊	play	yuu, yu	aso(bu)	JDIC_Audio_All/あそび - 遊び.mp3	ユウ,ユ	あそぶ,あそばす	play
予	beforehand	yo	amaru	JDIC_Audio_All/かねて - 予て.mp3	ヨ,シャ	あらかじめ	beforehand; previous; myself; I
有	possess	yuu, u	a(ru)	JDIC_Audio_All/ゆう - 有.mp3	ユウ,ウ	ある	possess; have; exist; happen; occur; approx
由	a reason	yu, yuu, yui	yoshi	JDIC_Audio_All/よし - 由.mp3	ユ,ユウ	よし,よる	wherefore; a reason
油	oil	yu	abura	JDIC_Audio_All/あぶら - 油.mp3	ユ,ユウ	あぶら	oil; fat
薬	medicine	yaku	kusuri	JDIC_Audio_All/くすり - 薬.mp3	ヤク	くすり	medicine; chemical; enamel; gunpowder; benefit
問	question	mon	to(u), to(i), ton	JDIC_Audio_All/もん - 問.mp3	モン	とう,とい	question; ask; problem
役	duty	eki, yaku	yaku	JDIC_Audio_All/えき - 役.mp3	ヤク,エキ	ヤク,エキ	duty; war; campaign; drafted labor; office; service; role
命	command	mei, myoo	inochi	JDIC_Audio_All/いのち - 命.mp3	メイ,ミョウ	いのち	fate; command; decree; destiny; life; appoint
面	mask	men	omo, omote, tsura	JDIC_Audio_All/おもて - 面.mp3	メン,ベン	おも,おもて	mask; face; features; surface
味	taste	mi	aji, aji(wau)	JDIC_Audio_All/あじ - 味.mp3	ミ	あじ,あじわう	flavor; taste
放	set free	hoo	hana(su), hana(tsu), hana(reru)	sounds/common/hanasu.wav	ホウ	はなす,-っぱなし	set free; release; fire; shoot; emit; banish; liberate
勉	exertion	ben	tsutomeru	sounds/common/ben.wav	ベン	つとめる	exertion
返	return	hen	kae(su), kae(ru)	JDIC_Audio_All/かえる - 返る.mp3	ヘン	かえす,-かえす	return; answer; fade; repay
平	even	hei, byoo	tai(ra), hira	JDIC_Audio_All/ひら - 平.mp3	ヘイ,ビョウ	たいら,-だいら	even; flat; peace
部	section	bu	-be	JDIC_Audio_All/ぶ - 部.mp3	ブ	-べ	section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine
服	clothing	fuku	fuku	JDIC_Audio_All/ふく - 服.mp3	フク	フク	clothing; admit; obey; discharge
福	blessing	fuku	fuku	JDIC_Audio_All/ふく - 福.mp3	フク	フク	blessing; fortune; luck; wealth
物	thing	butsu, motsu	mono	JDIC_Audio_All/もの - 物.mp3	ブツ,モツ	もの,もの-	thing; object; matter
