列	file	retsu	retsu	JDIC_Audio_All/れつ - 列.mp3	レツ,レ	レツ,レ	file; row; rank; tier; column
練	practice	ren	ne(ru)	JDIC_Audio_All/ねり - 練り.mp3	レン	ねる,ねり	practice; gloss; train; drill; polish; refine
路	path	ro	ji	sounds/common/ro.wav	ロ,ル	-じ,みち	path; route; road; distance
和	harmony	wa, o	yawa(ragu), yawa(rageru), nago(mu), nago(yaka)	JDIC_Audio_All/やわ - 和.mp3	ワ,オ	やわらぐ,やわらげる	harmony; Japanese style; peace; soften; Japan
緑	green	ryoku, roku	midori	JDIC_Audio_All/みどり - 緑.mp3	リョク,ロク	みどり	green
礼	salute	rei, rai	rei	JDIC_Audio_All/れい - 礼.mp3	レイ,ライ	レイ,ライ	salute; bow; ceremony; thanks; remuneration
陽	sunshine	yoo	hi	JDIC_Audio_All/よう - 陽.mp3	ヨウ	ひ	sunshine; yang principle; positive; male; heaven; daytime
落	fall	raku	o(chiru), o(tosu)	JDIC_Audio_All/おち - 落.mp3	ラク	おちる,おち	fall; drop; come down
流	current	ryuu, ru	naga(reru), naga(su)	JDIC_Audio_All/りゅう - 流.mp3	リュウ,ル	ながれる,ながれ	current; a sink; flow; forfeit
旅	trip	ryo	tabi	JDIC_Audio_All/たび - 旅.mp3	リョ	たび	trip; travel
両	both	ryoo	futatsu	sounds/g1/e4ba8c_futatsu.wav	リョウ	てる,ふたつ	both; old Japanese coin; counter for carriages (e.g., in a train); two
羊	sheep	yoo	hitsuji	JDIC_Audio_All/ひつじ - 羊.mp3	ヨウ	ひつじ	sheep
葉	leaf	yoo	ha	JDIC_Audio_All/は - 葉.mp3	ヨウ	は	leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece
様	Esq.	yoo	sama	JDIC_Audio_All/よう - 様.mp3	ヨウ,ショウ	さま,さん	Esq.; way; manner; situation; polite suffix
洋	ocean	yoo	nada	JDIC_Audio_All/ようよう - 洋々.mp3	ヨウ	ヨウ	ocean; western style
遊	play	yuu, yu	aso(bu)	JDIC_Audio_All/あそび - 遊び.mp3	ユウ,ユ	あそぶ,あそばす	play
予	beforehand	yo	amaru	JDIC_Audio_All/かねて - 予て.mp3	ヨ,シャ	あらかじめ	beforehand; previous; myself; I
有	possess	yuu, u	a(ru)	JDIC_Audio_All/ゆう - 有.mp3	ユウ,ウ	ある	possess; have; exist; happen; occur; approx
由	wherefore	yu, yuu, yui	yoshi	JDIC_Audio_All/よし - 由.mp3	ユ,ユウ	よし,よる	wherefore; a reason
油	oil	yu	abura	JDIC_Audio_All/あぶら - 油.mp3	ユ,ユウ	あぶら	oil; fat
薬	medicine	yaku	kusuri	JDIC_Audio_All/くすり - 薬.mp3	ヤク	くすり	medicine; chemical; enamel; gunpowder; benefit
問	question	mon	to(u), to(i), ton	JDIC_Audio_All/もん - 問.mp3	モン	とう,とい	question; ask; problem
役	duty	eki, yaku	yaku	JDIC_Audio_All/えき - 役.mp3	ヤク,エキ	ヤク,エキ	duty; war; campaign; drafted labor; office; service; role
命	fate	mei, myoo	inochi	JDIC_Audio_All/いのち - 命.mp3	メイ,ミョウ	いのち	fate; command; decree; destiny; life; appoint
面	mask	men	omo, omote, tsura	JDIC_Audio_All/おもて - 面.mp3	メン,ベン	おも,おもて	mask; face; features; surface
味	flavor	mi	aji, aji(wau)	JDIC_Audio_All/あじ - 味.mp3	ミ	あじ,あじわう	flavor; taste
放	set free	hoo	hana(su), hana(tsu), hana(reru)	sounds/common/hanasu.wav	ホウ	はなす,-っぱなし	set free; release; fire; shoot; emit; banish; liberate
勉	exertion	ben	tsutomeru	sounds/common/ben.wav	ベン	つとめる	exertion
返	return	hen	kae(su), kae(ru)	JDIC_Audio_All/かえる - 返る.mp3	ヘン	かえす,-かえす	return; answer; fade; repay
平	even	hei, byoo	tai(ra), hira	JDIC_Audio_All/ひら - 平.mp3	ヘイ,ビョウ	たいら,-だいら	even; flat; peace
部	section	bu	-be	JDIC_Audio_All/ぶ - 部.mp3	ブ	-べ	section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine
服	clothing	fuku	fuku	JDIC_Audio_All/ふく - 服.mp3	フク	フク	clothing; admit; obey; discharge
福	blessing	fuku	fuku	JDIC_Audio_All/ふく - 福.mp3	フク	フク	blessing; fortune; luck; wealth
物	thing	butsu, motsu	mono	JDIC_Audio_All/もの - 物.mp3	ブツ,モツ	もの,もの-	thing; object; matter
負	defeat	fu	ma(keru), ma(kasu), o(u)	JDIC_Audio_All/ふ - 負.mp3	フ	まける,まかす	defeat; negative; -; minus; bear; owe; assume a responsibility
箱	box	soo	hako	JDIC_Audio_All/はこ - 箱.mp3	ソウ	はこ	box; chest; case; bin; railway car
畑	farm	hata	hata, hatake	JDIC_Audio_All/はたけ - 畑.mp3	はた,はたけ	はた,はたけ	farm; field; garden; one's specialty; (kokuji)
発	discharge	hatsu, hotsu	hatsu	JDIC_Audio_All/はつ - 発.mp3	ハツ,ホツ	たつ,あばく	discharge; departure; publish; emit; start from; disclose; counter for gunshots
反	anti-	han, hon, tan	so(ru), so(rasu)	JDIC_Audio_All/はん - 反.mp3	ハン,ホン	そる,そらす	anti-
板	plank	han, ban	ita	JDIC_Audio_All/いた - 板.mp3	ハン,バン	いた	plank; board; plate; stage
悲	jail cell	hi	kana(shii), kana(shimu)	JDIC_Audio_All/かなしい - 悲しい.mp3	ヒ	かなしい,かなしむ	jail cell; grieve; sad; deplore; regret
皮	pelt	hi	kawa	JDIC_Audio_All/かわ - 皮.mp3	ヒ	かわ	pelt; skin; hide; leather; skin radical (no. 107)
美	beauty	bi	utsuku(shii)	JDIC_Audio_All/び - 美.mp3	ビ,ミ	うつくしい	beauty; beautiful
鼻	nose	bi	hana	JDIC_Audio_All/はな - 鼻.mp3	ビ	はな	nose; snout
筆	writing brush	hitsu	fude	JDIC_Audio_All/ふで - 筆.mp3	ヒツ	ふで	writing brush; writing; painting brush; handwriting
氷	icicle	hyoo	koori, hi	JDIC_Audio_All/こおり - 氷.mp3	ヒョウ	こおり,ひ	icicle; ice; hail; freeze; congeal
表	surface	hyoo	omote, arawa(su), arawa(reru)	JDIC_Audio_All/ひょう - 表.mp3	ヒョウ	おもて,-おもて	surface; table; chart; diagram
病	ill	byoo, hei	ya(mu), yamai	JDIC_Audio_All/やまい - 病.mp3	ビョウ,ヘイ	やむ,-やみ	ill; sick
秒	second (1/60 minute)	byoo	byoo	JDIC_Audio_All/びょう - 秒.mp3	ビョウ	ビョウ	second (1/60 minute)
品	goods	hin	shina	JDIC_Audio_All/ひん - 品.mp3	ヒン,ホン	しな	goods; refinement; dignity; article; counter for meal courses
農	agriculture	noo	noo	JDIC_Audio_All/のう - 農.mp3	ノウ	ノウ	agriculture; farmers
波	waves	ha	nami	JDIC_Audio_All/なみ - 波.mp3	ハ	なみ	waves; billows; Poland
配	distribute	hai	kuba(ru)	JDIC_Audio_All/くばる - 配る.mp3	ハイ	くばる	distribute; spouse; exile; rationing
倍	double	bai	bai	JDIC_Audio_All/ばい - 倍.mp3	バイ	バイ	double; twice; times; fold
動	move	doo	ugo(ku), ugo(kasu)	JDIC_Audio_All/どう - 動.mp3	ドウ	うごく,うごかす	move; motion; change; confusion; shift; shake
童	juvenile	doo	warabe	JDIC_Audio_All/わらべ - 童.mp3	ドウ	わらべ	juvenile; child
豆	beans	too, zu	mame	JDIC_Audio_All/まめ - 豆.mp3	トウ,ズ	まめ,まめ-	beans; pea; midget
島	island	too	shima	JDIC_Audio_All/しま - 島.mp3	トウ	しま	island
投	throw	too	na(geru)	JDIC_Audio_All/なげ - 投げ.mp3	トウ	なげる,-なげ	throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss
湯	hot water	too	yu	JDIC_Audio_All/ゆ - 湯.mp3	トウ	ゆ	hot water; bath; hot spring
等	etc.	too	hito(shii)	JDIC_Audio_All/とう - 等.mp3	トウ	ひとしい,など	etc.; and so forth; class (first); quality; equal; similar
登	ascend	too, to	nobo(ru)	JDIC_Audio_All/のぼる - 登る.mp3	トウ,ト	のぼる,あがる	ascend; climb up
都	metropolis	to, tsu	miyako	JDIC_Audio_All/みやこ - 都.mp3	ト,ツ	みやこ	metropolis; capital
度	degrees	do, to, taku	tabi	JDIC_Audio_All/たんび - 度.mp3	ド,ト	たび,-たい	degrees; occurrence; time; counter for occurrences
帳	notebook	choo	tobari	JDIC_Audio_All/とばり - 帳.mp3	チョウ	とばり	notebook; account book; album
調	tune	choo	shira(beru), totono(u), totono(eru)	JDIC_Audio_All/ちょう - 調.mp3	チョウ	しらべる,しらべ	tune; tone; meter; key (music); writing style; prepare; exorcise; investigate
追	chase	tsui	o(u)	JDIC_Audio_All/おう - 追う.mp3	ツイ	おう	chase; drive away; follow; pursue; meanwhile
