また	also	mata	mata		--	また	also
乾きます	i will dry.	kawakimasu	kawakimasu		--	かわきます	i will dry.
迎える	welcome	mukaeru	mukaeru	JDIC_Audio_All/むかえる - 迎える.mp3	--	むかえる	welcome
市役所	city hall	shiyakusho	shiyakusho	JDIC_Audio_All/しやくしょ - 市役所.mp3	--	しやくしょ	city hall
登録	registration	touroku	touroku	JDIC_Audio_All/とうろく - 登録.mp3	--	とうろく	registration
植物	plant	shokubutsu	shokubutsu	JDIC_Audio_All/しょくぶつ - 植物.mp3	--	しょくぶつ	plant
大使館	embassy	taishikan	taishikan	JDIC_Audio_All/たいしかん - 大使館.mp3	--	たいしかん	embassy
喫茶店	a coffee shop	kissaten	kissaten	JDIC_Audio_All/きっさてん - 喫茶店.mp3	--	きっさてん	a coffee shop
幼稚園	kindergarten	youchien	youchien	JDIC_Audio_All/ようちえん - 幼稚園.mp3	--	ようちえん	kindergarten
博物館	a museum	hakubutsukan	hakubutsukan	JDIC_Audio_All/はくぶつかん - 博物館.mp3	--	はくぶつかん	a museum
虹	rainbow	niji	niji	JDIC_Audio_All/にじ - 虹.mp3	--	にじ	rainbow
外出	go out	gaishutsu	gaishutsu	JDIC_Audio_All/そとで - 外出.mp3	--	がいしゅつ	go out
残念	so bad	zannen	zannen	JDIC_Audio_All/ざんねん - 残念.mp3	--	ざんねん	so bad
骨	bone	hone	hone	JDIC_Audio_All/こつ - 骨.mp3	--	ほね	bone
残業	overtime	zangyou	zangyou	JDIC_Audio_All/ざんぎょう - 残業.mp3	--	ざんぎょう	overtime
ムッすぐ	quickly	mussugu	mussugu		--	むっすぐ	quickly
棚	shelf	tana	tana	JDIC_Audio_All/たな - 棚.mp3	--	たな	shelf
足す	to add	tasu	tasu	JDIC_Audio_All/たす - 足す.mp3	--	たす	to add
かける	multiply	kakeru	kakeru	sounds/g4/e6aca0_kakeru.wav	--	かける	multiply
苦手	weak	nigate	nigate	JDIC_Audio_All/にがて - 苦手.mp3	--	にがて	weak
踊る	dance	odoru	odoru	JDIC_Audio_All/おどる - 踊る.mp3	--	おどる	dance
めったに	rarely	mettani	mettani		--	めったに	rarely
潜る	dive	moguru	moguru	JDIC_Audio_All/くぐる - 潜る.mp3	--	もぐる	dive
以下	less than	ika	ika	JDIC_Audio_All/いか - 以下.mp3	--	いか	less than
払い	payment	harai	harai	JDIC_Audio_All/はらい - 払い.mp3	--	はらい	payment
もし	if	moshi	moshi		--	もし	if
経験	experience	keiken	keiken	JDIC_Audio_All/けいけん - 経験.mp3	--	けいけん	experience
選ぶ	choose	erabu	erabu	JDIC_Audio_All/えらぶ - 選ぶ.mp3	--	えらぶ	choose
ぜひ	by all means	zehi	zehi		--	ぜひ	by all means
観覧車	ferris wheel	kanransha	kanransha	JDIC_Audio_All/かんらんしゃ - 観覧車.mp3	--	かんらんしゃ	ferris wheel
水族	aquatic	mizuzoku	mizuzoku		--	みずぞく	aquatic
注文	order	chumon	chumon	JDIC_Audio_All/ちゅうもん - 注文.mp3	--	ちゅうもん	order
かしこまります	certainly	kashikomarimasu	kashikomarimasu		--	かしこまります	certainly
はがき	a postcard	hagaki	hagaki		--	はがき	a postcard
薄い	thin	usui	usui	JDIC_Audio_All/うすい - 薄い.mp3	--	うすい	thin
予定	plans	yotei	yotei	JDIC_Audio_All/よてい - 予定.mp3	--	よてい	plans
畑	field	hata	hata	JDIC_Audio_All/はたけ - 畑.mp3	--	はた	field
吠える	bark	hoeru	hoeru		--	ほえる	bark
欲張り	greed	yokubari	yokubari	JDIC_Audio_All/よくばり - 欲張り.mp3	--	よくばり	greed
役に立つ	useful	yakunitatsu	yakunitatsu	JDIC_Audio_All/やくにたつ - 役に立つ.mp3	--	やくにたつ	useful
役に立たない	useless	yakunitatanai	yakunitatanai	JDIC_Audio_All/やくにたたない - 役に立たない.mp3	--	やくにたたない	useless
殴る	hit	naguru	naguru	JDIC_Audio_All/なぐる - 殴る.mp3	--	なぐる	hit
墓	tomb	haka	haka	sounds/g5/e5a293_haka.wav	--	はか	tomb
ばかり	only	bakari	bakari		--	ばかり	only
割れる	to break	wareru	wareru	JDIC_Audio_All/われる - 割れる.mp3	--	われる	to break
大切	important	taisetsu	taisetsu	JDIC_Audio_All/たいせつ - 大切.mp3	--	たいせつ	important
せめて	at least	semete	semete	JDIC_Audio_All/せめて - せめて.mp3	--	せめて	at least
満開	full bloom	mankai	mankai	JDIC_Audio_All/まんかい - 満開.mp3	--	まんかい	full bloom
見事	brilliant	migoto	migoto	JDIC_Audio_All/みごと - 見事.mp3	--	みごと	brilliant
よこせ	give me	yokose	yokose		--	よこせ	give me
複雑	complexity	fukuzatsu	fukuzatsu	JDIC_Audio_All/ふくざつ - 複雑.mp3	--	ふくざつ	complexity
田舎	the countryside	inaka	inaka	JDIC_Audio_All/いなか - 田舎.mp3	--	いなか	the countryside
更に	further	sarani	sarani	JDIC_Audio_All/さらに - 更に.mp3	--	さらに	further
突然	suddenly	totsuzen	totsuzen	JDIC_Audio_All/とつぜん - 突然.mp3	--	とつぜん	suddenly
おまけに	as a bonus	omakeni	omakeni	sounds/g3/e8b2a0_omakeni.wav	--	おまけ	as a bonus
いたら	after all	itara	itara		--	いたら	after all
流れる	flowing	nagareru	nagareru	JDIC_Audio_All/ながれる - 流れる.mp3	--	ながれる	flowing
苦い	bitter	nigai	nigai	JDIC_Audio_All/にがい - 苦い.mp3	--	にがい	bitter
でっかい	huge	dekkai	dekkai	JDIC_Audio_All/でっかい - でっかい.mp3	--	でっかい	huge
喜ぶ	be pleased	yorokobu	yorokobu	JDIC_Audio_All/よろこぶ - 喜ぶ.mp3	--	よろこぶ	be pleased
召し上がる	i will eat	meshiagaru	meshiagaru	JDIC_Audio_All/めしあがる - 召し上がる.mp3	--	めしあがる	i will eat
慌てる	panic	awateru	awateru	JDIC_Audio_All/あわてる - 慌てる.mp3	--	あわてる	panic
お湯沸かす	boil water	oyuwakasu	oyuwakasu		--	おゆわかす	boil water
大事	importance	daiji	daiji	JDIC_Audio_All/だいじ - 大事.mp3	--	だいじ	importance
ちょくちょく	often	chokuchoku	chokuchoku	JDIC_Audio_All/ちょくちょく - ちょくちょく.mp3	--	ちょくちょく	often
相手	partner	aite	aite	JDIC_Audio_All/あいて - 相手.mp3	--	あいて	partner
負ける	lose	makeru	makeru	JDIC_Audio_All/まける - 負ける.mp3	--	まける	lose
リス	squirre	risu	risu	JDIC_Audio_All/リス - リス.mp3	--	りす	squirre
承知	consent	shouchi	shouchi	JDIC_Audio_All/しょうち - 承知.mp3	--	しょうち	consent
酸っぱい	sour	suppai	suppai	JDIC_Audio_All/すっぱい - 酸っぱい.mp3	--	すっぱい	sour
迎え	greeted	mukae	mukae	JDIC_Audio_All/むかえ - 迎え.mp3	--	むかえ	greeted
釣り	fishing	tsuri	tsuri	JDIC_Audio_All/つり - 釣り.mp3	--	つり	fishing
有効期限	expiration date	yuukou kigen	yuukou kigen	JDIC_Audio_All/ゆうこうきげん - 有効期限.mp3	--	ゆうこうきげん	expiration date
