common/ichi.wav	イチ
common/itsu.wav	イツ
common/hito.wav	ひと
g1/e4b880_hitotsu.wav	ひと・つ
g1/e4b880_ichigatsu.wav	一月，１月（いちがつ）	January ☆＝睦月（むつき）
g1/e4b880_ichinichi.wav	一日（いちにち）	a day, all day long, the whole day
g1/e4b880_ichijitsunochou.wav	一日の長（いちじつのちょう）	to gain a little advantage
g1/e4b880_kakuitsuka.wav	画一化（かくいつか）	standardization
g1/e4b880_ikkini.wav	一気に（いっきに）	at a breath, at a stretch,
g1/e4b880_hitokotomoiwazuni.wav	一言も言わずに（ひとこともいわずに）	without a word,
g1/e4b880_hitotsu.wav	一つ，１つ（ひとつ）	one, a piece ☆＝一個（いっこ）
g1/e4b880_kazehitotsuhikanai.wav	風邪一つ引かない（かぜひとつひかない）	
g1/e4b880_hitotsuyattemiyou.wav	一つやってみよう（ひとつやってみよう）	I will just
g1/e4b880_hitotsuninatte.wav	一つになって（ひとつになって）	in one united body
g1/e4b880_hitotsuyanenoshitadekurasu.wav	一つ屋根の下で暮らす（ひとつやねのしたでくらす）	
common/tsuitachi.wav	一日，１日（ついたち）	the first day
common/u.wav	ウ
common/yuu.wav	ユウ
g1/e58fb3_migi.wav	みぎ
g1/e58fb3_usetsushasen.wav	右折車線（うせつしゃせん）	the lane for turning
g1/e58fb3_sayuu.wav	左右（さゆう）	right and left
g1/e58fb3_sayuusareru.wav	左右される（さゆうされる）	be swayed, be controlled,
g1/e58fb3_migite.wav	右手（みぎて）	the right hand, the right-hand side
g1/e58fb3_nomiginiderumonohainai.wav	～の右に出る者はいない（のみぎにでるものはいない）	
common/u.wav	ウ
g1/e99ba8_ame.wav	あめ
common/ama.wav	*あま
g1/e99ba8_uki.wav	雨季（うき）	the rainy season
g1/e99ba8_amegafurisou.wav	雨が降りそう（あめがふりそう）	It looks like rain.,
g1/e99ba8_amagumo.wav	雨雲（あまぐも）	a rain cloud
g1/e99ba8_harusame.wav	春雨（はるさめ）	spring drizzle
g1/e99ba8_tsuyu.wav	梅雨（つゆ）	Japanese rainy season
g1/e99ba8_samidare.wav	五月雨（さみだれ）	early summer rain
g1/e99ba8_shigure.wav	時雨（しぐれ）	shower in the last of autumn
common/en.wav	エン
g1/e58686_tsubura.wav	*つぶ・ら
common/marui.wav	*まる・い
g1/e58686_enman.wav	円満（えんまん）	peaceful, harmonious
g1/e58686_tsuburanahitomi.wav	円らな瞳（つぶらなひとみ）	beady eyes
common/ou.wav	オウ
