歴	レキ ・ レッキ	curriculum; continuation; passage of time	general
連	レン ・ つらなる ・ つらねる ・ つれる ・ -づれ	take along; lead; join; connect; party; gang; clique	general
労	ロウ ・ ろうする ・ いたわる ・ いたずき ・ ねぎら ・ つかれる ・ ねぎらう	labor; thank for; reward for; toil; trouble	general
老	ロウ ・ おいる ・ ふける	old man; old age; grow old	general
録	ロク	record	general
良	リョウ ・ よい ・ -よい ・ いい ・ -いい	good; pleasing; skilled	general
量	リョウ ・ はかる	quantity; measure; weight; amount; consider; estimate; surmise	general
輪	リン ・ わ	wheel; ring; circle; link; loop; counter for wheels and flowers	general
類	ルイ ・ たぐい	sort; kind; variety; class; genus	general
令	レイ	orders; ancient laws; command; decree	general
例	レイ ・ たとえる	example; custom; usage; precedent	general
冷	レイ ・ つめたい ・ ひえる ・ ひや ・ ひややか ・ ひやす ・ ひやかす ・ さめる ・ さます	cool; cold (beer, person); chill	general
要	ヨウ ・ いる ・ かなめ	need; main point; essence; pivot; key to	general
養	ヨウ ・ リョウ ・ やしなう	foster; bring up; rear; develop; nurture	general
浴	ヨク ・ あびる ・ あびせる	bathe; be favored with; bask in	general
利	リ ・ きく	profit; advantage; benefit	general
陸	リク ・ ロク ・ おか	land; six	general
料	リョウ	fee; materials	general
勇	ユウ ・ いさむ	courage; cheer up; be in high spirits; bravery; heroism	general
約	ヤク	promise; approximately; shrink	general
満	マン ・ バン ・ みちる ・ みつ ・ みたす	full; fullness; enough; satisfy	general
未	ミ ・ ビ ・ いまだ ・ まだ ・ ひつじ	un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac	general
脈	ミャク ・ すじ	vein; pulse; hope	general
民	ミン ・ たみ	people; nation; subjects	general
無	ム ・ ブ ・ ない	nothingness; none; ain't; nothing; nil; not	general
末	マツ ・ バツ ・ すえ	end; close; tip; powder; posterity	general
包	ホウ ・ つつむ ・ くるむ	wrap; pack up; cover; conceal	general
法	ホウ ・ ハッ ・ ホッ ・ フラン ・ のり	method; law; rule; principle; model; system	general
望	ボウ ・ モウ ・ のぞむ ・ もち	ambition; full moon; hope; desire; aspire to; expect	general
牧	ボク ・ まき	breed; care for; shepherd; feed; pasture	general
便	ベン ・ ビン ・ たより	convenience	general
兵	ヘイ ・ ヒョウ ・ つわもの	soldier; private; troops; army; warfare; strategy; tactics	general
別	ベツ ・ わかれる ・ わける	separate; branch off; diverge; fork; another; extra; specially	general
変	ヘン ・ かわる ・ かわり ・ かえる	unusual; change; strange	general
辺	ヘン ・ あたり ・ ほとり ・ -べ	environs; boundary; border; vicinity	general
副	フク	vice-; duplicate; copy	general
粉	フン ・ デシメートル ・ こ ・ こな	flour; powder; dust	general
不	フ ・ ブ	negative; non-; bad; ugly; clumsy	general
