会う	to meet	au	au	JDIC_Audio_All/あう - 会う.mp3	--	あう	to meet
開く	to open	aku	aku	JDIC_Audio_All/あく - 開く.mp3	--	あく	to open
開ける	to open	akeru	akeru	JDIC_Audio_All/あける - 開ける.mp3	--	あける	to open
あげる	to give	ageru	ageru	JDIC_Audio_All/あげる - 揚げる.mp3	--	あげる	to give
遊ぶ	to play	asobu	asobu	JDIC_Audio_All/あそぶ - 遊ぶ.mp3	--	あそぶ	to play
浴びる	to take a shower	abiru	abiru	JDIC_Audio_All/あびる - 浴びる.mp3	--	あびる	to take a shower
洗う	to wash	arau	arau	JDIC_Audio_All/あらう - 洗う.mp3	--	あらう	to wash
有る	to be, to exist	aru	aru	JDIC_Audio_All/ある - 有る.mp3	--	ある	to be, to exist
ある	to possess	aru	aru	JDIC_Audio_All/ある - 在る.mp3	--	ある	to possess
歩く	to walk	aruku	aruku	sounds/g2/e6ada9_aruku.wav	--	あるく	to walk
言う	to say, to tell	iu	iu	JDIC_Audio_All/いう - 言う.mp3	--	いう	to say, to tell
行く	to go	iku	iku	JDIC_Audio_All/いく - 行く.mp3	--	いく	to go
いる	need, must haven be required	iru	iru	JDIC_Audio_All/いる - 入る.mp3	--	いる	need, must haven be required
いる	to exist	iru	iru	JDIC_Audio_All/いる - 入る.mp3	--	いる	to exist
入れる	to insert, to put in	ireru	ireru	JDIC_Audio_All/いれる - 入れる.mp3	--	いれる	to insert, to put in
歌う	to sing	utau	utau	JDIC_Audio_All/うたう - 歌う.mp3	--	うたう	to sing
生まれる	to be born	umareru	umareru	JDIC_Audio_All/うまれる - 生まれる.mp3	--	うまれる	to be born
売る	to sell	uru	uru	JDIC_Audio_All/うる - 売る.mp3	--	うる	to sell
起きる	to get up, to stand up	okiru	okiru	JDIC_Audio_All/おきる - 起きる.mp3	--	おきる	to get up, to stand up
おく	to put	oku	oku	JDIC_Audio_All/おく - 措く.mp3	--	おく	to put
送る	to send	okuru	okuru	JDIC_Audio_All/おくる - 送る.mp3	--	おくる	to send
押す	to push	osu	osu	JDIC_Audio_All/おす - 押す.mp3	--	おす	to push
覚える	to memorize, to remember	oboeru	oboeru	JDIC_Audio_All/おぼえる - 覚える.mp3	--	おぼえる	to memorize, to remember
泳ぐ	to swim	oyogu	oyogu	JDIC_Audio_All/およぐ - 泳ぐ.mp3	--	およぐ	to swim
降りる	to get off	oriru	oriru	JDIC_Audio_All/おりる - 降りる.mp3	--	おりる	to get off
終わる	to end	owaru	owaru	JDIC_Audio_All/おわる - 終わる.mp3	--	おわる	to end
買う	to buy	kau	kau	JDIC_Audio_All/かう - 買う.mp3	--	かう	to buy
返す	to return an object	kaesu	kaesu	JDIC_Audio_All/かえす - 返す.mp3	--	かえす	to return an object
帰る	to return home	kaeru	kaeru	JDIC_Audio_All/かえる - 帰る.mp3	--	かえる	to return home
かかる	to take time or money	kakaru	kakaru	JDIC_Audio_All/かかる - 罹る.mp3	--	かかる	to take time or money
書く	to write	kaku	kaku	JDIC_Audio_All/かく - 書く.mp3	--	かく	to write
かける	to wear	kakeru	kakeru	JDIC_Audio_All/かける - 懸ける.mp3	--	かける	to wear
かける	to make a phone call	kakeru	kakeru	JDIC_Audio_All/かける - 懸ける.mp3	--	かける	to make a phone call
貸す	to lend	kasu	kasu	JDIC_Audio_All/かす - 貸す.mp3	--	かす	to lend
冠る	to put on a hat	kaburu	kaburu	JDIC_Audio_All/かぶる - 被る.mp3	--	かぶる	to put on a hat
借りる	to borrow	kariru	kariru	JDIC_Audio_All/かりる - 借りる.mp3	--	かりる	to borrow
消える	to go out, to vanish	kieru	kieru	JDIC_Audio_All/きえる - 消える.mp3	--	きえる	to go out, to vanish
聞く	to listen	kiku	kiku	JDIC_Audio_All/きく - 聞く.mp3	--	きく	to listen
切る	to cut	kiru	kiru	JDIC_Audio_All/きる - 切る.mp3	--	きる	to cut
着る	to wear, to put on	kiru	kiru	JDIC_Audio_All/きる - 着る.mp3	--	きる	to wear, to put on
来る	to come	kuru	kuru	JDIC_Audio_All/くる - 来る.mp3	--	くる	to come
消す	to turn off, to switch off	kesu	kesu	JDIC_Audio_All/けす - 消す.mp3	--	けす	to turn off, to switch off
答える	to answer	kotaeru	kotaeru	JDIC_Audio_All/こたえる - 答える.mp3	--	こたえる	to answer
困る	to be in trouble	komaru	komaru	JDIC_Audio_All/こまる - 困る.mp3	--	こまる	to be in trouble
咲く	to blossom	saku	saku	JDIC_Audio_All/さく - 咲く.mp3	--	さく	to blossom
さす	to open an umbrella	sasu	sasu	JDIC_Audio_All/さす - 刺す.mp3	--	さす	to open an umbrella
死ぬ	to die, to pass away	shinu	shinu	JDIC_Audio_All/しぬ - 死ぬ.mp3	--	しぬ	to die, to pass away
閉まる	to close	shimaru	shimaru	JDIC_Audio_All/しまる - 閉まる.mp3	--	しまる	to close
閉める	to close	shimeru	shimeru	JDIC_Audio_All/しめる - 閉める.mp3	--	しめる	to close
締める	to fasten a belt	shimeru	shimeru	JDIC_Audio_All/しめる - 締める.mp3	--	しめる	to fasten a belt
知る	to know	shiru	shiru	JDIC_Audio_All/しる - 知る.mp3	--	しる	to know
吸う	to breath, to smoke	suu	suu	JDIC_Audio_All/すう - 吸う.mp3	--	すう	to breath, to smoke
住む	to live, to reside somewhere	sumu	sumu	JDIC_Audio_All/すむ - 住む.mp3	--	すむ	to live, to reside somewhere
する	to do	suru	suru	JDIC_Audio_All/する - 剃る.mp3	--	する	to do
座る	to sit	suwaru	suwaru	JDIC_Audio_All/すわる - 座る.mp3	--	すわる	to sit
出す	to take out, hand in	dasu	dasu	JDIC_Audio_All/だす - 出す.mp3	--	だす	to take out, hand in
立つ	to stand	tatsu	tatsu	JDIC_Audio_All/たつ - 立つ.mp3	--	たつ	to stand
頼む	to ask, to request	tanomu	tanomu	JDIC_Audio_All/たのむ - 頼む.mp3	--	たのむ	to ask, to request
食べる	to eat	taberu	taberu	JDIC_Audio_All/たべる - 食べる.mp3	--	たべる	to eat
違う	to be different	chigau	chigau	JDIC_Audio_All/ちがう - 違う.mp3	--	ちがう	to be different
使う	to use	tsukau	tsukau	JDIC_Audio_All/つかう - 使う.mp3	--	つかう	to use
疲れる	to get tired	tsukareru	tsukareru	JDIC_Audio_All/つかれる - 疲れる.mp3	--	つかれる	to get tired
着く	to arrive	tsuku	tsuku	JDIC_Audio_All/つく - 着く.mp3	--	つく	to arrive
作る	to make, to produce	tsukuru	tsukuru	JDIC_Audio_All/つくる - 作る.mp3	--	つくる	to make, to produce
点ける	to turn on	tsukeru	tsukeru	JDIC_Audio_All/つける - 点ける.mp3	--	つける	to turn on
勤める	to work for someone	tsutomeru	tsutomeru	JDIC_Audio_All/つとめる - 勤める.mp3	--	つとめる	to work for someone
出かける	to go out	dekakeru	dekakeru	JDIC_Audio_All/でかける - 出かける.mp3	--	でかける	to go out
出来る	can do	dekiru	dekiru	JDIC_Audio_All/できる - 出来る.mp3	--	できる	can do
出る	to leave	deru	deru	JDIC_Audio_All/でる - 出る.mp3	--	でる	to leave
飛ぶ	to fly	tobu	tobu	JDIC_Audio_All/とぶ - 飛ぶ.mp3	--	とぶ	to fly
止まる	to stop	tomaru	tomaru	JDIC_Audio_All/とまる - 止まる.mp3	--	とまる	to stop
取る	to take	toru	toru	JDIC_Audio_All/とる - 取る.mp3	--	とる	to take
撮る	to take a photo	toru	toru	JDIC_Audio_All/とる - 撮る.mp3	--	とる	to take a photo
鳴く	to sing, mew, moo	naku	naku	JDIC_Audio_All/なく - 鳴く.mp3	--	なく	to sing, mew, moo
並ぶ	to form a line	narabu	narabu	JDIC_Audio_All/ならぶ - 並ぶ.mp3	--	ならぶ	to form a line
並べる	to line up	naraberu	naraberu	JDIC_Audio_All/ならべる - 並べる.mp3	--	ならべる	to line up
なる	to become	naru	naru	JDIC_Audio_All/なる - 成る.mp3	--	なる	to become
脱ぐ	to take off clothes	nugu	nugu	JDIC_Audio_All/ぬぐ - 脱ぐ.mp3	--	ぬぐ	to take off clothes
寝る	to sleep	neru	neru	JDIC_Audio_All/ねる - 寝る.mp3	--	ねる	to sleep
登る	to climb up	noboru	noboru	JDIC_Audio_All/のぼる - 登る.mp3	--	のぼる	to climb up
飲む	to drink	nomu	nomu	JDIC_Audio_All/のむ - 飲む.mp3	--	のむ	to drink
